Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Comparative Programming Languages: Lecture, 17/10/2019,04:00 PM, 17/10/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Lecture, 18/10/2019,10:30 AM, 18/10/2019,12:30 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Lecture, 24/10/2019,04:00 PM, 24/10/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Lecture, 25/10/2019,10:30 AM, 25/10/2019,12:30 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 28/10/2019,10:30 AM, 28/10/2019,01:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Exercises, 29/10/2019,01:30 PM, 29/10/2019,04:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Lecture, 07/11/2019,04:00 PM, 07/11/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 12/11/2019,01:30 PM, 12/11/2019,04:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Lecture, 14/11/2019,04:00 PM, 14/11/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 15/11/2019,10:30 AM, 15/11/2019,01:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Lecture, 21/11/2019,04:00 PM, 21/11/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 26/11/2019,01:30 PM, 26/11/2019,04:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Lecture, 28/11/2019,04:00 PM, 28/11/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 29/11/2019,10:30 AM, 29/11/2019,01:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Lecture, 05/12/2019,04:00 PM, 05/12/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 10/12/2019,01:30 PM, 10/12/2019,04:00 PM,False,200A 00.25,200A 00.25,False
Comparative Programming Languages: Lecture, 12/12/2019,04:00 PM, 12/12/2019,06:00 PM,False,200A 00.225,200A 00.225,False
Comparative Programming Languages: Exercises, 13/12/2019,10:30 AM, 13/12/2019,01:00 PM,False,200A 00.25,200A 00.25,False
